Sex,GPA,Seat,alcohol,WtFeel,Height,IdealHt,momheight,dadheight,Hand,Looks,Friends,Cheat,Smoke
Female,2.6,M,15,AboutRt,64,66,64,70,Right,15,Opposite,No,No
Male,2.7,M,14,AboutRt,69,76,67,68,Left,13,Same,No,No
Female,3,F,NA,AboutRt,66,68,61,70,Right,10,Opposite,No,Yes
Female,3.11,F,10,AboutRt,63,65,62,68,Right,12,Same,No,No
Male,3.4,B,30,OverWt,72,74,66,69,Right,14,Same,No,No
Female,3.43,M,20,AboutRt,67,67,68,69,Right,14,Opposite,No,No
Male,3.7,F,15,NA,69,73,67,69,Right,6,Opposite,No,No
Male,3.7,B,15,AboutRt,74,75,69,76,Right,17,Opposite,No,No
Male,3.77,M,0,UnderWt,72,75,NA,72,Right,13,NA,No,No
Female,3.5,F,0,AboutRt,63,63,NA,NA,Right,1,Same,No,No
Male,3,F,NA,OverWt,68.5,NA,64,NA,Right,10,Same,No,Yes
Male,3,M,0,AboutRt,70,74,61,74,Right,10,Same,No,No
Male,3.5,F,0,AboutRt,71,71,NA,73,Right,20,Opposite,No,No
Male,3.25,M,0,UnderWt,68,72,63,73,Right,15,Opposite,No,No
Female,2.83,M,0,AboutRt,60,65,60,68,Right,5,Opposite,No,No
Male,2.62,F,0,OverWt,71,74,61,67,Right,5,Opposite,No,No
Female,3.15,M,NA,AboutRt,68,69,67,72,Left,10,Opposite,No,No
Female,4.2,M,1,AboutRt,67,67,70,76,Right,20,NA,Yes,Yes
Female,3.7,F,0,OverWt,66,68,60,71,Right,10,Opposite,Yes,No
Male,4.38,M,2,UnderWt,69,74,64,64,Right,15,Opposite,No,No
Male,3.65,M,NA,UnderWt,69,72,60,65,Right,20,Same,No,No
Male,3.6,M,0,AboutRt,68,70,63,65,Right,13,Opposite,No,No
Female,3,M,1,AboutRt,67,69,68,72,Right,15,Opposite,No,No
Female,2.25,M,NA,AboutRt,65,65,64,70,Right,15,Opposite,No,No
Female,4.03,M,NA,AboutRt,61,66,NA,NA,Right,10,Opposite,No,No
Female,2.54,M,2,AboutRt,61,69,64,64,Right,13,Opposite,No,No
Female,2.6,M,0,OverWt,64,64,63,72,Right,11,Opposite,No,No
Female,NA,M,1,AboutRt,68,64,64,71,Right,12,Same,Yes,No
Male,3,B,10,UnderWt,69,69,NA,NA,Right,15,Opposite,No,No
Male,2.93,M,NA,OverWt,68,72,62,67,Right,12,Opposite,No,No
Male,3.2,B,12,AboutRt,72,75,67,71,Right,10,Opposite,No,No
Female,NA,B,3,OverWt,68,68,NA,NA,Left,10,Same,No,No
Female,3,M,NA,AboutRt,64,66,63,71,Right,12,Opposite,No,No
Female,3.4,F,1,AboutRt,65.5,68,62,70,Left,NA,Opposite,No,No
Female,2.5,M,0,NA,67,67,66,70,Right,17,Same,No,No
Female,3,M,0,NA,70,70,NA,NA,Right,10,Same,No,No
Female,3.51,M,8,AboutRt,67,67,69,74,Right,15,Same,No,No
Female,2.37,M,0,AboutRt,62.5,65,65.5,68,Right,15,Same,No,No
Female,NA,M,0,AboutRt,67,NA,NA,NA,Right,10,Same,No,NA
Female,3.5,M,0,AboutRt,67,67,NA,NA,Left,13,Same,No,No
Female,3,B,0,AboutRt,62,65,61,65,Right,10,Same,Yes,No
Female,2.9,M,0,OverWt,62,65,57,65,Right,5,Opposite,No,No
Female,3.9,M,0,AboutRt,64,64,62,63,Right,5,Same,Yes,No
Female,2.65,M,1,AboutRt,66,68,66,73,Right,13,Opposite,No,No
Female,3.5,M,3,AboutRt,65,65,64,67,Right,12,Opposite,No,No
Female,3.3,M,3,AboutRt,67,66,65,70,Right,13,Opposite,No,No
Male,3.4,M,5,AboutRt,64,68,64,64,Right,12,Same,Yes,No
Male,3.6,M,0,AboutRt,76,77,65,78,Right,12,Same,No,No
Male,3.21,M,0,UnderWt,68,70,64,65,Right,8,Opposite,No,No
Male,3.1,B,0,AboutRt,68,70,62,69,Right,12,Same,No,No
Male,3.85,M,1,OverWt,70,73,60,69,Right,7,Opposite,No,No
Male,3.2,M,2,AboutRt,62,NA,NA,NA,Right,12,Opposite,No,No
Male,2.5,M,12,AboutRt,67,70,62,70,Right,15,Same,No,No
Male,NA,M,12,AboutRt,76.5,76,68,73.5,Right,13,Same,No,No
Female,2.9,M,2,AboutRt,64.5,67,66,70,Right,12,NA,No,No
Female,4.2,M,0,AboutRt,70,70,65,77,Right,8,Same,No,No
Female,2.8,F,0,AboutRt,63,64,56,62,Right,18,Same,No,No
Male,2.6,M,0,OverWt,72,73.5,62,68,Right,16,Opposite,No,No
Male,3.05,B,8,AboutRt,64,70,61,63,Right,10,Opposite,No,No
Male,3.7,F,3,AboutRt,70,74,62,70,Right,11,Opposite,No,Yes
Male,4,F,9,AboutRt,68,72,66,68,Right,12,Same,No,No
Female,3.5,B,9,AboutRt,65,67,64,71,Right,10,Opposite,No,No
Female,3.22,F,0,OverWt,60,64,64,69,Right,18,Opposite,No,No
Female,2.9,B,2,NA,69,70,64,75,Right,20,Opposite,No,Yes
Male,3.25,B,NA,OverWt,73,NA,NA,72,Right,20,Same,No,No
Male,3.26,F,0,AboutRt,76.5,78,68,72,Right,10,Same,Yes,No
Female,3,F,0,AboutRt,64,67,63,67,Right,15,Same,No,No
Female,NA,M,NA,AboutRt,62,66,62,66,Right,10,Opposite,No,No
Male,2.01,M,0,AboutRt,72,74,NA,NA,Right,15,Opposite,No,No
Female,3.71,F,0,NA,63,67,62,65,Right,5,Same,Yes,No
Female,3.87,M,5,AboutRt,64,69,69,70,Right,10,Opposite,No,No
Male,3.26,F,0,AboutRt,64,72,54,60,Right,10,Opposite,No,No
Male,2.5,M,10,AboutRt,71,72,63,70,Right,13,Opposite,No,No
Male,2.9,M,3,UnderWt,73,73,64,67,Left,20,Opposite,No,Yes
Female,3.6,M,0,NA,62,65,62,68,Right,3,Same,No,No
Male,3.9,M,0,UnderWt,72,72,69,72,Right,12,Opposite,No,No
Male,2,F,NA,AboutRt,71,71,65,65,Right,10,Same,No,No
Male,3.2,M,2,AboutRt,65,69,61,65,Right,20,Opposite,No,No
Female,3.3,M,4,OverWt,72,72,65,72,Right,11,Same,No,No
Female,2.8,M,0,OverWt,63,65,60,69,Right,14,Same,No,No
Female,3.8,M,NA,AboutRt,67,67,69,66,Right,10,Opposite,No,No
Male,3,M,NA,AboutRt,69,72,64,72,Right,10,Opposite,No,No
Female,2.23,M,0,OverWt,63,66,NA,NA,Right,13,Same,No,No
Female,3.876,F,0,AboutRt,68,68,64,67,Right,1,Opposite,Yes,No
Female,3.01,M,0,AboutRt,64,66,67,NA,Right,10,Opposite,No,No
Male,2.5,M,0,OverWt,66,70,63,64,Right,20,Same,No,No
Female,3,M,3,OverWt,72,72,70,76,Right,16,Opposite,No,No
Female,2.79,M,0,OverWt,59.5,61.5,59,65,Right,10,Same,No,No
Female,3.8,M,0,AboutRt,65,67,70,70,Right,5,Opposite,No,No
Female,3.25,F,3,AboutRt,68,68,60,70,Right,12,Opposite,No,No
Female,2.8,M,0,OverWt,66,67,NA,NA,Right,10,Same,No,Yes
Male,3.39,F,0,UnderWt,73,75,68,NA,Right,10,Opposite,No,No
Female,2.64,M,0,AboutRt,65,62,NA,NA,Right,10,Opposite,No,No
Female,3.65,M,0,AboutRt,61,64,59,67,Right,12,Opposite,No,No
Female,3.4,F,0,OverWt,66,68,64,69,Right,9,Same,No,No
Female,3.33,F,0,OverWt,62.5,68,67,71.5,Right,3,Opposite,No,No
Female,3.9,F,4,OverWt,65,65,62,70,Right,1,Same,Yes,No
Female,2.54,M,1,UnderWt,65,68,63,70,Right,15,Opposite,No,No
Female,2.8,M,0,AboutRt,63,68,61,65,Left,10,Opposite,Yes,No
Male,3.5,M,0,OverWt,68,72,62,65,Right,15,Same,No,No
Male,3.1,M,NA,AboutRt,67,71,62,65,Right,5,Opposite,No,No
Male,2.66,M,3,AboutRt,70,74,65,72,Right,17,Opposite,No,No
Male,1.91,M,4,OverWt,70,74,61,68,Right,17,Opposite,No,No
Male,2.8,M,22,AboutRt,65,68,61,68,Right,13,Opposite,No,No
Female,2.8,M,2,OverWt,70,71,68,71,Right,1,Same,No,No
Male,2.7,M,NA,AboutRt,70,74,64,69,Right,13,Opposite,No,No
Female,3.8,F,0,AboutRt,64,NA,64,67,Right,3,Same,No,No
Female,3.24,F,NA,AboutRt,63,67,65,66,Right,11,Same,No,No
Female,2.58,B,10,AboutRt,68,67,69,72,Right,13,Opposite,No,No
Female,3.17,M,10,AboutRt,63.5,66,64,69,Right,10,Same,No,No
Female,2.6,M,NA,AboutRt,67.5,70,70,72,Right,12,Same,No,No
Female,2.58,M,1,OverWt,66,68,65,71,Right,10,Same,No,No
Female,2,F,0,AboutRt,66,69,63,72,Right,10,Opposite,No,No
Female,3.44,F,0,AboutRt,63,65,NA,NA,Right,10,Opposite,No,No
Female,2.5,M,0,AboutRt,61,64,61,65,Right,10,Opposite,NA,No
Female,2.9,B,20,OverWt,63,63,65,72,Right,17,Opposite,Yes,No
Female,2.7,M,12,AboutRt,61,66,60,67,Right,13,Opposite,No,No
Male,3.5,M,NA,AboutRt,72,72,62,70,Right,18,Opposite,No,No
Male,3,M,0,OverWt,70,72,62,71,Right,15,Opposite,No,No
Male,2.44,F,0,AboutRt,71,71,61,67,Right,10,Opposite,No,No
Male,2,M,0,AboutRt,71,74,65,68,Right,18,Opposite,No,No
Male,3.34,M,12,UnderWt,67,63,NA,NA,Right,10,Same,No,No
Male,3.83,M,NA,AboutRt,69,73,NA,NA,Right,13,Same,No,No
Male,1.92,F,5,AboutRt,72,72,62,64,Right,10,Same,No,No
Male,2.7,M,NA,UnderWt,74,77,NA,NA,Left,10,Same,No,No
Female,3.9,M,0,AboutRt,63,66,NA,NA,Right,10,Opposite,Yes,No
Female,2.33,M,0,AboutRt,61,64,60,62,Right,15,Opposite,No,No
Female,NA,M,0,AboutRt,66,68,65,70,Right,15,Opposite,No,No
Female,1.96,F,1,AboutRt,63,67,61,63,Right,17,Opposite,No,No
Female,3,M,3,AboutRt,66,69,62,67,Right,5,Same,No,No
Female,3,F,1,AboutRt,67,69,NA,NA,Left,12,Same,No,Yes
Female,3.4,B,0,AboutRt,64,65,NA,NA,Right,10,Same,No,No
Female,2.05,F,0,AboutRt,66,65,62,68,Right,10,Same,No,No
Female,3.1,M,18,OverWt,68,65,63,69,Right,12,Opposite,No,Yes
Female,3,M,NA,OverWt,62,65,62,68,Right,5,Opposite,No,No
Female,3,M,NA,OverWt,66,68,67,70,Right,15,Opposite,No,No
Female,NA,M,0,AboutRt,62,64,60,NA,Right,NA,Same,NA,No
Female,3.25,M,3,AboutRt,63,67,62,69,Right,20,Opposite,No,No
Female,3.92,B,0,AboutRt,66,68,62,72,Right,7,Opposite,No,No
Female,4,F,0,AboutRt,66,68,65,69,Left,5,Opposite,No,No
Female,3,B,20,AboutRt,69,69,66,70,Right,15,Opposite,No,No
Male,3.26,M,25,OverWt,74,74,NA,NA,Right,15,Opposite,No,Yes
Male,2.8,,0,AboutRt,70,73,62,67,Right,13,Same,No,No
Female,2.84,B,2,UnderWt,68,NA,65,73,Right,15,Opposite,No,No
Male,2.8,B,10,AboutRt,68,72,61,73,Right,13,Opposite,No,No
Male,2.87,B,14,AboutRt,71,76,60,73,Right,15,Same,No,No
Female,2.1,M,15,AboutRt,64,66,65,74,Right,5,Opposite,No,No
Female,2.77,M,20,AboutRt,69,69,67,74,Right,13,Opposite,No,No
Male,2.95,B,20,AboutRt,72,72,64,67,Right,14,Same,No,Yes
Male,3.7,M,15,AboutRt,63,69,63,63,Right,15,Same,No,No
Female,3.89,F,3,AboutRt,62,69,65,NA,Right,12,Opposite,No,Yes
Female,3.5,F,1,AboutRt,65,67,63,70,Right,15,Opposite,No,No
Female,NA,M,0,AboutRt,61,63,NA,NA,Right,10,Same,No,No
Female,3,M,0,AboutRt,67,67,64,69,Left,10,Opposite,No,No
Male,3.88,M,2,AboutRt,69,72,63,65,Right,18,Opposite,No,No
Female,3,M,0,UnderWt,64,66,NA,NA,Right,10,Same,Yes,No
Female,4,B,0,AboutRt,62,65,NA,NA,Right,5,Same,No,No
Female,3.2,B,7,OverWt,64,66,NA,NA,Right,10,Opposite,No,No
Female,3.2,M,0,AboutRt,66,69,67,67,Right,12,Same,No,No
Female,3.57,M,NA,AboutRt,63,66,62,70,Right,6,NA,No,No
Female,3,M,0,AboutRt,61,66,66,66,Right,10,Opposite,No,No
Female,2.96,M,2,AboutRt,67,67,64,72,Right,9,Opposite,No,No
Female,2.5,B,7,AboutRt,67,68,63,71,Right,15,Opposite,No,No
Female,2.67,F,0,UnderWt,63.5,65,65,71,Right,12,Opposite,Yes,No
Female,3,F,0,UnderWt,60,62,64,66,Right,13,Opposite,No,No
Female,2.7,M,0,AboutRt,67,66,65,68,Right,10,Opposite,No,No
Female,3.8,M,0,AboutRt,61,65,59,70,Right,12,Opposite,No,No
Female,2.5,M,0,AboutRt,64,67,62,NA,Right,7,Opposite,No,No
Female,3.1,F,4,AboutRt,61,65,NA,NA,Right,15,Opposite,No,Yes
Female,3.5,B,NA,OverWt,68,68,67,NA,Right,10,Same,No,No
Female,3.87,M,10,AboutRt,63,66,65,64,Right,10,Opposite,No,No
Female,3.7,F,0,UnderWt,62,64,64,66,Right,18,Opposite,NA,No
Female,3.4,M,5,AboutRt,67,66,66,71,Right,15,Opposite,No,No
Female,4.1,F,0,OverWt,63,63,NA,NA,Right,10,Same,No,No
Female,3.54,F,0,AboutRt,60,62,62,65,Right,1,Opposite,No,No
Male,3.8,M,0,AboutRt,72,73,65,75,Right,5,Opposite,No,No
Male,3.21,F,0,AboutRt,67.75,72,65,66,Right,10,Opposite,No,No
Male,3,B,12,AboutRt,70,73,65,73,Left,NA,Same,No,No
Male,2.04,M,14,AboutRt,67,71,60,NA,Right,17,Opposite,No,No
Male,2.8,M,10,AboutRt,67,72,63,65,Right,20,Opposite,No,No
Female,2.4,M,15,OverWt,64.5,67,65.5,66,Right,10,Opposite,No,No
Female,2.9,M,10,OverWt,60.5,65,62,67,Right,NA,Same,No,No
Male,2.38,M,36,UnderWt,74,72,NA,72,Right,8,Same,No,Yes
Female,3.83,M,3,AboutRt,69.5,71,63,74,Right,13,Opposite,No,No
Female,2.9,M,5,AboutRt,66,68,64,74,Right,3,Opposite,No,No
Female,2.91,M,1,OverWt,65,68,64,NA,Left,15,Same,No,No
Female,2.9,B,5,AboutRt,65,66,62,67,Right,3,Opposite,No,No
Male,2.04,B,3,OverWt,73,74,67,74,Right,16,Opposite,No,No
Female,3.67,M,0,OverWt,63,66,60,72,Right,12,Same,No,No
Female,3,M,4,AboutRt,67,68,65,NA,Right,10,Same,No,No
Male,3.3,F,NA,AboutRt,66,68,69,71,Right,5,Opposite,No,No
Female,3.6,B,7,AboutRt,68,69,66,74,Right,8,Opposite,No,No
Female,3.5,M,8,AboutRt,68,68,62,71,Right,10,Same,No,No
Male,3,M,25,NA,74,74.76,67,72,Right,12,Same,No,No
Male,3.7,M,10,AboutRt,70,73,64,71,Left,20,Opposite,No,No
Female,NA,F,NA,AboutRt,65,NA,63,71,Right,5,Opposite,Yes,No
Male,3.4,B,0,AboutRt,72,73,67,69,Right,10,Opposite,No,No
Female,3.33,M,0,AboutRt,63,67,65,68,Right,11,Same,No,No
Male,4.06,B,2,AboutRt,70,74,66,73,Right,20,Same,No,No
Male,3.8,F,0,AboutRt,75,73,62,76,Left,16,Opposite,No,No
Male,4,M,9,AboutRt,74,74,65,74,Right,12,NA,No,No
Female,3,F,0,AboutRt,62,64,60,67,Right,5,Same,No,No
Female,3,M,NA,AboutRt,63,64,66,68,Right,10,Same,No,No
Male,3,B,15,OverWt,70,NA,65,68,Right,8,Same,No,Yes
Female,3.2,M,0,AboutRt,71,72,69,72,Right,10,Same,No,No
Female,3.4,F,2,AboutRt,63,66,63,68,Right,18,Same,No,Yes
Female,3.5,F,0,AboutRt,63,67,63,66,Right,12,Same,No,No
Female,3.6,F,0,OverWt,62,67,64,66,Right,1,Same,No,No
Female,3.43,B,0,AboutRt,63,65,61,67,Right,12,Opposite,Yes,No
Female,3.92,F,6,AboutRt,65,68,67,68,Right,10,Opposite,No,No
Female,3,M,1,AboutRt,62,66,NA,NA,Right,10,Opposite,No,No
Female,2.9,F,0,AboutRt,63,65,65,NA,Left,10,Opposite,Yes,No
Female,3.2,M,NA,AboutRt,65,66,64,73,Right,10,Opposite,No,No
Female,3.4,M,0,AboutRt,63,66,NA,NA,Left,20,Opposite,No,No
Female,3.7,M,0,UnderWt,64,67,58,72,Right,10,Opposite,No,No
Female,3.4,M,10,AboutRt,68,69,68,72,Right,15,Opposite,No,No
Female,3.1,M,0,AboutRt,64,67,63,68,Right,10,Same,No,No
Female,3,M,0,AboutRt,61,64,62,67,Right,5,Same,No,No
Female,3.79,M,0,OverWt,62,67,60,66,Right,10,Same,No,No
Female,3.9,F,0,AboutRt,66,66,62,71,Right,10,Same,Yes,No
Male,2.1,B,10,AboutRt,74,80,63,65,Right,20,Same,No,No
Male,3,B,15,AboutRt,72,74,67,69,Right,10,Same,No,No
Male,2.06,B,30,AboutRt,72,75,66,72,Left,10,Opposite,No,Yes
Female,3,B,6,AboutRt,68,70,66,72,Right,5,Opposite,No,Yes
Female,3.81,M,0,AboutRt,65,66,64,68,Right,15,Same,No,No
Female,2.4,B,1,AboutRt,69,70,65,75,Right,8,Opposite,No,No
Female,2.6,M,10,AboutRt,65,67,69,72,Right,18,Opposite,No,No
Female,3,M,3,OverWt,64,68,68,72,Left,13,Opposite,No,No
Male,3,M,12,AboutRt,73,73,67,69,Right,12,Same,No,No
Female,3.9,M,NA,AboutRt,64,64,64,70,Right,8,Same,No,No
Female,2.94,B,1,OverWt,67,67,62,71,Right,18,Same,No,No
Male,2.5,B,30,OverWt,72,76,63,68,Right,15,Opposite,No,Yes
Male,2.5,B,12,AboutRt,73,75,63,67,Right,15,Opposite,No,Yes
Male,2.7,B,NA,UnderWt,74,74,63,74,Right,17,Same,No,Yes
Female,3.2,B,0,AboutRt,68,68,65,67,Right,10,Same,No,No
Female,2.67,B,1,OverWt,73,70,68,76,Right,10,Same,Yes,No
Male,2,B,6,AboutRt,68,75,64,66,Right,18,Same,No,No
Male,2.46,B,6,AboutRt,63,68,57,66,Right,19,Same,No,No
